t,Yar,Yar+,Yar*,Ye-,Nar+,Nar*,Te,ydot0,ydot1,ydot2,term4,qu,hu
0.0000390000,0.9989736077,0.0010253905,0.0000009877,0.0000000141,164861317199311456.0000000000,158802210600728.0937500000,20554.7184588868,-11.7866866981,-0.0003093860,-26.4892119398,3.4649214512,5,0.0000011273
0.0000400000,0.9989800601,0.0010189384,0.0000009875,0.0000000140,163824996745277728.0000000000,158775923376848.2500000000,20424.7771575896,-11.7080735644,-0.0003093328,2974.0189973345,3.2197209029,5,0.0000000001
0.0000410000,0.9988522179,0.0011467792,0.0000009872,0.0000000157,184355708373937536.0000000000,158705848587761.3750000000,50377.0998859356,284.2606496372,-0.0003092358,906.3502889489,1994.4498394316,3,0.0000000481
0.0000420000,0.9985446585,0.0014543346,0.0000009869,0.0000000200,233726390805387648.0000000000,158607503152459.5000000000,48931.7797743937,314.2813954522,-0.0003091391,-2345.6966820112,2225.3662558611,3,0.0000000003
0.0000430000,0.9984375454,0.0015614466,0.0000009866,0.0000000214,250913530391673120.0000000000,158539578544780.5312500000,34130.9445292675,29.4567960619,-0.0003090398,-424.9312688962,349.6984175382,4,0.0000000749
0.0000440000,0.9984252565,0.0015737356,0.0000009863,0.0000000216,252885188330380160.0000000000,158483256708738.8750000000,30055.5111170670,-0.0174236578,-0.0003089338,-211.5865423859,148.9426653205,4,0.0000001576
0.0000450000,0.9984294128,0.0015695797,0.0000009860,0.0000000216,252218417796296640.0000000000,158438120616704.9062500000,28204.5249721199,-7.8946700686,-0.0003088445,-149.3190692542,92.5305733139,3,0.0000002923
0.0000460000,0.9984425433,0.0015564497,0.0000009856,0.0000000214,250111814774296896.0000000000,158378366341703.4062500000,26559.5327428892,-12.5101705490,-0.0003087240,-108.4534895765,57.0024156571,4,0.0000003427
0.0000470000,0.9984564393,0.0015425543,0.0000009853,0.0000000212,247882343375568960.0000000000,158329564237311.6250000000,25580.3765864538,-14.3313559076,-0.0003086246,-89.5276053732,41.3352301861,4,0.0000003427
0.0000480000,0.9984734049,0.0015255892,0.0000009849,0.0000000209,245160284699662848.0000000000,158275879837045.2500000000,24724.6678956866,-15.4226370077,-0.0003085147,-75.7749278053,30.4895181361,4,0.0000005684
0.0000490000,0.9984822970,0.0015166974,0.0000009848,0.0000000208,243733546269389408.0000000000,158249109153126.2500000000,24362.2393457414,-15.7542467324,-0.0003084598,-70.6381259322,26.6054784867,4,0.0000005684
0.0000500000,0.9985004475,0.0014985475,0.0000009844,0.0000000206,240821209847066912.0000000000,158195639272219.8750000000,23719.4710678389,-16.1693122051,-0.0003083500,-62.4461481567,20.6554722367,4,0.0000005684
0.0000510000,0.9985242635,0.0014747323,0.0000009840,0.0000000203,236999679957520928.0000000000,158126991462350.2500000000,23025.3802810914,-16.3826591106,-0.0003082088,-54.7621041254,15.4329553438,4,0.0000008932
0.0000520000,0.9985389087,0.0014600876,0.0000009837,0.0000000201,234649601522577824.0000000000,158085067879103.0937500000,22654.3421040892,-16.4047232505,-0.0003081226,-51.0946885952,13.0966505266,4,0.0000008932
0.0000530000,0.9985535693,0.0014454274,0.0000009834,0.0000000198,232296974141863392.0000000000,158043157883717.2187500000,22316.9421119166,-16.3716478684,-0.0003080364,-47.9954784028,11.2191918565,4,0.0000008932
0.0000540000,0.9985681651,0.0014308321,0.0000009831,0.0000000196,229954688416081920.0000000000,158001248798151.0937500000,22003.3299943685,-16.3003391724,-0.0003079502,-45.3076513285,9.6702990652,4,0.0000008932
0.0000550000,0.9985826712,0.0014163265,0.0000009829,0.0000000194,227626726103210624.0000000000,157959336714565.2500000000,21710.2890683190,-16.2003504297,-0.0003078641,-42.9514803610,8.3805926194,4,0.0000008932
0.0000560000,0.9985970825,0.0014019156,0.0000009826,0.0000000193,225313916847505472.0000000000,157917420826670.5937500000,21436.3906071174,-16.0784516565,-0.0003077780,-40.8728306227,7.3019435370,4,0.0000008932
